Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,873.0,0.0,5.0,2.0,7.0
Portugal,348.0,0.0,0.0,0.0,34.0
Spain,736.0,2.0,11.0,2.0,0.0
United States,173.0,0.0,4.0,19.0,1.0
Canada,235.0,44.0,1.0,2.0,0.0
Sweden,13.0,0.0,0.0,0.0,0.0
Italy,127.0,1.0,18.0,19.0,4.0
France,330.0,0.0,1.0,2.0,1.0
Belgium,77.0,0.0,2.0,1.0,0.0
Australia,13.0,0.0,2.0,7.0,0.0
Germany,676.0,0.0,18.0,15.0,9.0
Netherlands,211.0,0.0,0.0,1.0,0.0
Israel,16.0,0.0,3.0,5.0,0.0
Switzerland,55.0,0.0,0.0,3.0,0.0
Greece,2.0,0.0,2.0,2.0,0.0
Austria,20.0,0.0,2.0,1.0,0.0
Argentina,4.0,2.0,0.0,3.0,1.0
Denmark,13.0,0.0,0.0,2.0,0.0
Morocco,1.0,0.0,0.0,1.0,0.0
Slovenia,8.0,0.0,0.0,2.0,0.0
Scotland,26.0,0.0,1.0,1.0,0.0
Czech Republic,6.0,0.0,1.0,1.0,0.0
United Arab Emirates,13.0,0.0,0.0,1.0,0.0
Finland,4.0,0.0,0.0,3.0,0.0
Wales,8.0,0.0,0.0,0.0,0.0
Northern Ireland,3.0,0.0,0.0,0.0,0.0
Sudan,0.0,1.0,0.0,0.0,0.0
Bolivia,0.0,1.0,1.0,0.0,1.0
Iran,0.0,3.0,0.0,0.0,0.0
Ecuador,0.0,0.0,1.0,0.0,0.0
Malta,4.0,0.0,0.0,1.0,0.0
Ireland,28.0,0.0,0.0,0.0,0.0
Mexico,9.0,0.0,0.0,2.0,0.0
Pakistan,0.0,1.0,1.0,0.0,0.0
French Guiana,0.0,2.0,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0
Peru,0.0,0.0,1.0,1.0,0.0
Brazil,11.0,9.0,2.0,8.0,1.0
Malaysia,0.0,0.0,0.0,0.0,0.0
Hungary,12.0,0.0,0.0,0.0,0.0
Norway,4.0,0.0,0.0,3.0,0.0
Paraguay,0.0,1.0,0.0,1.0,0.0
Costa Rica,0.0,0.0,0.0,1.0,0.0
Gibraltar,1.0,0.0,1.0,0.0,0.0
Mauritius,0.0,0.0,0.0,2.0,1.0
Haiti,0.0,1.0,0.0,0.0,0.0
Uruguay,0.0,1.0,0.0,4.0,0.0
Latvia,2.0,0.0,0.0,1.0,0.0
Cayman Islands,0.0,1.0,0.0,0.0,0.0
Kosovo,0.0,0.0,1.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,1.0,0.0,1.0,0.0
Ghana,18.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0
Iceland,3.0,0.0,0.0,1.0,0.0
Poland,12.0,0.0,1.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,6.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0
Venezuela,1.0,0.0,0.0,1.0,0.0
Romania,5.0,0.0,2.0,0.0,0.0
Georgia,1.0,0.0,0.0,0.0,0.0
Slovakia,0.0,0.0,1.0,1.0,0.0
Luxembourg,1.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,1.0,1.0,0.0
Chile,3.0,0.0,0.0,2.0,0.0
Serbia,1.0,0.0,0.0,0.0,0.0
Lebanon,1.0,0.0,0.0,1.0,0.0
South Korea,1.0,0.0,1.0,1.0,0.0
Singapore,1.0,0.0,0.0,0.0,0.0
South Africa,1.0,0.0,0.0,0.0,1.0
Taiwan,1.0,0.0,0.0,1.0,0.0
Colombia,3.0,0.0,0.0,2.0,0.0
Croatia,1.0,0.0,0.0,1.0,0.0
Greece ,1.0,0.0,0.0,0.0,0.0
Bulgaria,2.0,0.0,0.0,2.0,0.0
Somalia,0.0,3.0,3.0,1.0,0.0
Zambia,0.0,1.0,0.0,1.0,0.0
Fiji,0.0,1.0,0.0,0.0,0.0
